repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep1
1;Ended;0.000;1;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep2
2;Ended;0.600;9;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep3
3;Ended;1.000;12;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep4
4;Ended;1.000;12;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep5
5;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep6
6;Ended;1.000;12;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep7
7;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep8
8;Ended;0.400;6;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep9
9;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep10
10;Ended;0.600;8;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep11
11;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep12
12;Ended;0.600;8;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep13
13;Ended;0.800;10;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep14
14;Ended;0.800;9;0;0;S1-T15-C2-PL-HR-S35-SEM-ABS_[11-05]-[21-24-30]_rep15
